Name,CPAN_Username,Twitter_Username,Website,Photo_URL,Brief_Bio,Presentation_Type,Blocks,Day,Time,Track,Group,Audience_Experience,Title,Public_Description
Will 'the Chill' Braswell,wbraswell,rperlcompiler,http://rperl.org,https://secure.gravatar.com/avatar/ee899c0fcc1ada11e398e168bca5864d?s=130&d=identicon,"Creator of RPerl & Co-Creator of Perl 11.
Scouter, Juggler, Mormon, Perl Monger, Serial Entrepreneur, Volunteer, Aspiring Astrophysicist, Community Organizer, Family Man.",Standard Talk - 50 minutes,2,2017-06-20,14:30,Madison B,Polyglot,Any,"C, RPerl.  C, RPerl, Run.  Run, RPerl, Run!","See RPerl run!
This presentation is chock-full of real-life, bona-fide, honest-to-goodness running RPerl examples, demos, and applications.
You will see RPerl execute in both normal-speed interpreted mode as well as super-high-speed compiled mode.
You will see the C(++) output code generated by RPerl.
You will see the basic procedures for using RPerl.
And MOST IMPORTANTLY you will revel in the glory and technical ecstasy that is fully-compiled Perl.
100% guaranteed to be more fun than Dick and Jane!"
Dave Rolsky,DROLSKY,,http://blog.urth.org/,https://secure.gravatar.com/avatar/ac0051ccbf2115f581f5da62fb56c219?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2F1401e7f176d9e13ad2a9380ecd1f18f6%3Fs%3D130%26d%3Didenticon,"Dave Rolsky has been a Perl developer since 1999, and has created or contributed to dozens of CPAN modules, including DateTime, Log::Dispatch, Params::Validate, and more. He is also a member of the Moose core development team, and in early 2009 completed a TPF grant to substantially rewrite and expand the Moose documentation. Way back when, he co-wrote Embedding Perl in HTML with Mason and RT Essentials, both published by O'Reilly.

He spends a lot of his free time on animal advocacy, and otherwise vegetates with video games, books, and TV shows, like any proper nerd.
",Standard Talk - 50 minutes,2,2017-06-20,14:30,Knox,Less Code,Any,Make Your Technical Hiring Process Suck at Least 20% Less,"As someone who's both done a lot of hiring and been through many interviews, I can tell you with great certainty that it's almost uniformly terrible. I have some ideas on how you can make your hiring process less terrible, both for the candidates and for yourself.

Some topics I'll cover are how most processes suck, how to write a good job description, pre-interview screening approaches, how not to be a complete jerk when you interview someone, questions to ask (and question to not ask), and more."
Henry Van Styn,vanstyn,vanstyn,www.rapi.io,https://secure.gravatar.com/avatar/5992a86920e7583080f07b9c21b6d768?s=130&d=identicon,"Henry Van Styn is the owner of IntelliTree Solutions, a small Perl shop focusing on database-driven web applications which has been in business for over 16 years. Henry is the primary author of RapidApp as well as several other distributions on CPAN. Henry has been a regular speaker at YAPC for the past few years and has also written for different technology blogs and publications, including Linux Journal.",Standard Talk - 50 minutes,2,2017-06-20,14:30,Jefferson,Whatever,Intermediate,Rapi::Blog - All-new maximalist blogging powered by RapidApp,"For this year's talk I'll be demoing the brand new RapidApp-based blogging platform Rapi::Blog which has been under development for around 6 months so far (as of march). It will be debuting with its first public release on CPAN on the day of the talk! Folks, this is conference-driven development at its finest.

Previous years' RapidApp talks have also involved day-of, first-time releases of demo applications, but this year is different in that Rapi::Blog is first and foremost a real application and is designed for real-world use. 

Another blog?!?? Yep. And, like the countless other devs that came before me - who broke-down and said ""screw it, I'll just write my own blog"" - I went down the rabbit hole because I wanted some set of features and functionality that I couldn't find in other platforms. Everyone has different priorities, but for me, the two main factors were:

1. Truer abstraction and separation between the front-end ""theme"" and the backend
2. Leveraging the features and flexibility of RapidApp 

Rapi::Blog introduces a new ""scaffold"" pattern which consists of a file structure of template-driven, pure HTML/CSS documents that are able to represent the view and layout for a given site using a straightforward but comprehensive API of template directives. The intent is to reduce the translation effort needed to convert a static, font-end only html site (such as a bootstrap site/template) to be driven from dynamic, backend models. The blog pattern emerges from a content model (i.e. posts, comments, etc, standard blog features) and a scaffold of html templates, css and images which accesses it.

Since it's powered by RapidApp, the initialization of the storage model is all automatic and requires virtually nothing for a new site/instance (unless you want to customize the model, which you can). In this way, a Rapi::Blog installation is able to consist of nothing but a scaffold and a place to store data. It is then the scaffold that can be extended, customized and adapted to create all kinds layouts, designs and scenarios. That said, Rapi::Blog will also ship with a fully-working vanilla-design scaffold needed to function as a blog.

If you want to try another blog with maximalist features but minimalist effort, or, if you just want to see my/RapidApp's take on the blog question, this talk is for you. Just like previous RapidApp talks, this one will consist of all live-running, real-time demos (which you can run yourself), and should be a lot of fun. 
"
Sam Batschelet,hexfusion,hexfusion,,https://pbs.twimg.com/profile_images/647563978952970240/w-QsrKyj_400x400.png,"Sam is a Linux system administrator and developer whose specialties include ecommerce,  custom development platforms, Perl Dancer, DBIx::Class and cloud technologies. He is passionate about solving problems with open source solutions.",Standard Talk - 50 minutes,2,2017-06-20,09:30,Madison A,Whatever,Intermediate,Dancing In The Cloud,"This talk will walk though using Perl with the distributed key store etcd. I will also share a few new modules that I have been working on (Etcd3 and Dancer2::Plugin:Etcd) providing Perl and Dancer developers with cloud based authentication, and configuration management/storage options for their apps."
Jeffrey Goff,JGOFF,drforr,https://theperlfisher.blogspot.ro,,"Jeffrey Goff has spoken at conventions worldwide and is an active contributor to both Perl 5 and Perl 6. Jeff is a senior developer at Evozon Systems, a web design agency in Cluj, Romania, where he architects and builds custom web applications with Perl, HTML, and JavaScript. He is one of the original release managers for Parrot née Perl 6 and has written some core interface modules for Perl 6. At home, when he’s not creating Perl 6 libraries or speaking at conventions, Jeff does origami and travels. You can follow Jeff on Twitter and view his open source contributions on GitHub. He also blogs at The Perl Fisher.",Standard Talk - 50 minutes,2,2017-06-20,09:30,Madison B,Science & Data,Intermediate,ML with Perl 6 and TensorFlow,"Learn how to use TensorFlow for Machine Learning in Perl 6. We'll start by talking about what Machine Learning is, and how it's being applied in the real world to create SkyN...er, to perform tasks on Big Data that previously required neural networks. Next we'll build a simple three-node TensorFlow network in native Perl 6 using the TensorFlow library. If time permits, we'll talk about implementation details with Inline::Python and NumPy."
Frew Schmidt,frew,frioux,https://blog.afoolishmanifesto.com,https://blog.afoolishmanifesto.com/static/img/me200.gif,fREW Schmidt ,Standard Talk - 50 minutes,2,2017-06-20,09:30,Knox,"Test, Debug, Optimize",Intermediate,"Scaling, Reliability, and Performance at ZipRecruiter","ZipRecruiter gets tens of millions of views a day. This talk will detail what we have done to ensure that we can keep growing without going down while maintaining a snappy user experience.

Major topics of discussion include database technologies, monitoring, timeouts, caching, and more.  All of this is regarding Perl, though very little of this information is limited to Perl applications.

A subset of the information presented can be seen at:
 * https://blog.afoolishmanifesto.com/posts/reap-slow-and-bloated-plack-workers/
 * https://blog.afoolishmanifesto.com/posts/put-mysql-in-timeout/
 * https://blog.afoolishmanifesto.com/posts/linux-clocks/"
Sawyer X,XSAWYERX,PerlSawyer,http://www.blogs.perl.org/users/sawyer_x,https://secure.gravatar.com/avatar/f2bdad6d5883044b9d3c88e50f957bfc?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2Ff2bdad6d5883044b9d3c88e50f957bfc%3Fs%3D130%26d%3Didenticon,"A person incapable of providing a simple, clear Bio.",Standard Talk - 50 minutes,2,2017-06-20,09:30,Jefferson,Infrastructure & Ecosystem,Any,Pakket - An Unopinionated Meta-Packaging System,Packaging is one of the more illusive problems in maintaining a large set-up at any company. This is the solution we came up with at Booking.com.
Jason Terry,oaxlin,,,,Senior Developer for Bluehost,Short Talk - 20 minutes,1,2017-06-21,10:30,Madison A,Whatever,Any,Amazon Alexa and Perl,"Start on the road down home automation using Perl, Philips Hue,  Sony Bravia, Amazon Alexa, and more."
David Mertens,dcmertens,,,,"I am an Assistant Professor of Physics at Eckerd College in St. Petersburg, Florida. I have used Perl for scientific computing for a decade, prodding PDL and Prima in the process, and writing a number of scientifically-oriented distributions available on CPAN. I earned my Ph.D. in Physics from the University of Illinois at Urbana-Champaign. ",Short Talk - 20 minutes,1,2017-06-21,10:30,Madison B,Science & Data,Any,Writing Useful Scientific Analysis Software,"Most scientists write bad software. This software can sometimes be improved with programming best practices. However, programming best practices do not help with data analysis software, the code that transforms the raw experimental data into digestible results, tables, and figures. Often, the most important results are not immediately obvious, only emerging after a period of exploratory analysis. This highly dynamic process involves pruning and sharpening, abandoning and starting fresh, and returning to a previously abandoned approach. Multiple lines of analysis from one stage serve as the starting point of the next. Test suites are a premature optimization, yet bugs sneak in and are discovered only in later stages. Over the last few years I have developed a modulino-based approach for managing this unusual set of challenges and constraints. In this talk, I will show the many inefficient approaches scientists use, how conventional software practices don't help, and how Perl's quirks make it easy to solve this problem with just a little bit of creativity and discipline."
Steven Lembark,lembark,,,,Steve Lembark has been playing with Perl for a while.,Standard Talk - 50 minutes,2,2017-06-21,10:30,Knox,Perl Languages & Impl,Intermediate,"A little less line noise, please: Perl6 Regexen.","Perl6 regex syntax is markedly different from anything previously perlish. The new syntax was re-authored to be more flexible, readable, and maintainable while still being terse enough to use.
This talk will look at a few of the design descisions that went into the new syntax and walk through a set of hello-world regexen, transmuting Perl5 into Gold! Well, Perl6 at least..."
Nicolas R.,atoomic,atoomic,,https://secure.gravatar.com/avatar/7df78e735b7ef916d691e0b574a14f06?s=130&d=identicon,perl lover & hacker,Short Talk - 20 minutes,1,2017-06-21,11:00,Madison A,Perl Languages & Impl,Any,Introduction to Perl Internals,Internals for du'me
Chris Prather,perigrin,perigrin,http://perigr.in,https://secure.gravatar.com/avatar/72ca0434d6998fb97198f278926c6abf?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2Fd3103c7c7366bf63e22299fd36a7ec2c%3Fs%3D130%26d%3Didenticon,Pretty Pretty Perl Princess Pony,Short Talk - 20 minutes,1,2017-06-21,11:30,Madison A,Whatever,Any,MAKE new Friends,"I spend a lot of time working from my car. It's a lot of fun but sometimes it can be very lonely. The Raspberry Pi 3 is an amazing piece of kit, and with the help of some friends you can do very interesting things with it. Like build yourself an personal digital assistant for your car."
Joel Berger,JBERGER,joelaberger,,https://secure.gravatar.com/avatar/28d0d015d88863cd15e9fd69e0885fc0?s=130&d=identicon,"Perl programmer and physicist, Mojolicious core team member.",Short Talk - 20 minutes,1,2017-06-21,11:30,Madison B,Whatever,Any,"Vue.js, Mojolicious, and Postgres chat in less than 50 lines","Demonstrating key features of these technologies, this talk will show how to build a front-end rendered, websocket delivered, broker-backed (prefork-safe) chat application in an easy-to-read 50 line file single-file application. "
Philip Hood,,,http://www.perlish.org/~pth/papers/,,like the usual: just another perl hacker ...,Short Talk - 20 minutes,1,2017-06-21,11:30,Knox,Whatever,Any,Basic Autonomous Driving Research,"I had been lately hearing a bit about, but never studied, robotics more generally, and autonomous driving in particular and wondered if I could create some smaller instance of this using commodity tools - something like an inexpensive remote controlled car - purchased off the shelf, by using sensors (a camera) on the device, and having input from the camera be used to navigate the device, in ""real-time,"" so to speak. In this talk I discuss my experiences and detail a bit about the code, various algorithms investigated, and other things I tried along the way."
Lee Johnson,LEEJO,lee_a_j,https://leejo.github.io,https://s.gravatar.com/avatar/096e7bfd5f5fc1471ef5f71c21ff3a8f?s=80,"I would call myself a software developer as this has been my primary role for over a decade. I am the maintainer / author of several modules on CPAN and a sporadic attendee / speaker at various conferences.

I have been a contributing photographer to several print and online magazines in the past and am now working on a few long term photographic projects, including one about perl conferences.

Originally from the United Kingdom, i am currently living in Switzerland.",Short Talk - 20 minutes,1,2017-06-21,11:30,Jefferson,Infrastructure & Ecosystem,Any,OAuth2 is Done,"
A couple of years ago I started down the rabbit hole that is OAuth2 and managed
to implement a plugin for Mojolicious. Since then I have abstracted
out a lot of the internals and now have a module to support all four OAuth2
flows, which is de-coupled from any specific web framework.

This talk will cover those four OAuth2 flows, with examples of using the module
and plugins to implement an OAuth2 authorization server in your framework of
choice.

Strong coffee is advised as a prerequisite to attending this talk."
Abigail,Abigail,__Abigail__,,,20+ year of Perl programming. 18 year YAPC::NA veteran. Perl release manager. CPAN author. Regexp master.,Standard Talk - 50 minutes,2,2017-06-21,13:30,Madison A,Perl Languages & Impl,Any,Regexp Mini-Tutorial: Character Classes,"Character classes form their own mini-language inside the regular
expressions (which are a mini-language inside Perl). In recent
versions of Perl, an algebra was added to this language.

In this talk, we'll discuss character classes; we'll show how to
use them; how to make them work for you. And in particular, we'll
show how you can use existing classes to create new ones.
"
Stevan Little,STEVAN,stevanlittle,,http://www.gravatar.com/avatar/78244476bb128a3a10522fc215bd2e83.png,"Stevan Little is a programming language enthusiast and while he loves all languages, Perl has found a special place in his heart. Stevan is a CPAN contributor and was the original author of the Moose module. His current focus is on improving the Object Oriented features in the core of Perl. ",Standard Talk - 50 minutes,2,2017-06-21,13:30,Madison B,Polyglot,Any,Hold my beer and watch this!,"Perl 5 has been described in many ways; a Shinto Shrine, executable line noise, a Swiss Army Chainsaw, the Duct Tape of the Internet, etc. But I think Perl 5 is more like a old pop star, always reinventing itself to stay relevant, never truly leaving our consciousness, always just a melody away. 

Over the past several years I have been (slowly) working on a design for a new object system that would be suitable for inclusion in the Perl 5 core. This year I began releasing the various components to CPAN and in this talk we will discuss them and my dreams for the next incarnation of Perl 5."
Kivanc Yazan,kyzn,kyzn,kyzn.org,https://avatars2.githubusercontent.com/u/1781335?v=3&s=460,"Recent grad, software engineer for a year.",Short Talk - 20 minutes,1,2017-06-21,13:30,Knox,Less Code,Any,A Brief History of Timekeeping,How did we come from sundials to universally coordinated time with sub-second accuracy? How a country decides on its time zone? What good daylight saving does? Why Greenwhich? What railroads has to do with time standardization? Are there any alternatives to 24-hr day? What time is it on Mars?
Jason Hall,JAYCE,JayceHall,,https://secure.gravatar.com/avatar/b2e642decab0f9b360a550c224955db5?s=130&d=identicon,"Longtime perl developer, focusing on payments systems.",Short Talk - 20 minutes,1,2017-06-21,13:30,Jefferson,Infrastructure & Ecosystem,Any,Getting started with Docker and Modern Perl,"Docker has made it's way into becoming a standard tool in a modern development cycle. Learn how to use it as part of your modern perl environment for new projects, or for better testing of your existing code."
Jason McIntosh,,JmacDotOrg,jmac.org,,"Freelance software engineer, game design consultant, and creator of various online organizations and oddities. Daily Perl user since 1998.",Short Talk - 20 minutes,1,2017-06-21,14:00,Knox,Less Code,Any,BumpySkies: a passion-project postmortem,"Jason McIntosh spent much of 2016 creating BumpySkies (bumpyskies.com), a turbulence-forecasting tool for nervous air passengers (such as himself). In this talk, Jason explains why he spent a year writing a web application instead of writing a book, why making one dang webpage took a whole year (government agencies are involved), and the hopes and uncertainties that lie in the project's future (government agencies are involved).

Maybe he should have written a book after all. Well, whatever, he did this anyway, and he's going to talk about it. Come hear him talk about the rewards of asking people for stuff nicely, and the pitfalls of writing software that's only useful for doing a thing that you're normally too scared to do very much.

Look, he's already written two books and that's all behind him now, okay?"
Ruben Amortegui,AMORTEGUI,ramortegui,www.rubenamortegui.com,https://s.gravatar.com/avatar/91c819274031d8dad62811e5d966ca3c?s=80,"Bachelor degree in Systems Engineering at Fundación Universitaria San Martín (Bogotá, Colombia), Master's Degree in E-commerce at Instituto Tecnológico y de Estudios Superiores de Monterrey ITESM Universidad Virtual (Monterrey, México). Ruben has been creating and providing software solutions for web and stand-alone applications for the last 15 years to companies in different sectors like Education, Telecommunications, Financial, Human Resources, and Manufacture. He has been using several programming languages and technologies for prototype and production environments like: Java, Javascript, Delphi, Php, Ruby, Meteor, and Perl. He has been the host of the Elixir Calgary Meetup since 2016. The last 3 years Ruben has been using Perl at SOLE (Calgary, AB), to upgrade the backend and to develop new features and solutions like web apps using Dancer2.",Short Talk - 20 minutes,1,2017-06-21,14:00,Jefferson,Whatever,Beginner,Web stores with Dancer2::Plugin::Cart,"Dancer2::Plugin::Cart is a lightweight and extensible plugin to create Web stores using Dancer2.

Do you want to use your core lib as base of your web store? Or are you planning to create a new web store using Perl? This talk is for you!

Come on and discover how Dancer2::Plugin::Cart can make the process really enjoyable adding DSL keywords, a cart structure, route definitions, views, forms validation, and extensibility. All of this out of the box."
Nova Patch,patch,novapatch,patch.codes,https://secure.gravatar.com/avatar/3cab2cdaf129f5574e20c2b168b4c389?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2F3cab2cdaf129f5574e20c2b168b4c389%3Fs%3D130%26d%3Didenticon,"Nova Patch is a principal engineer on the UX Platform team at Shutterstock, specializing in internationalization, multilingual search, and building products that support the world’s languages, writing systems, and cultures. Speaking experience includes the Internationalization & Unicode Conference, Open Source Bridge, AWS Loft, and OSCON.",Standard Talk - 50 minutes,2,2017-06-21,14:30,Madison A,Whatever,Any,The \X-Files: Characters for Humans,"A “character” can mean different things to different people, but the largest disparity is between applications and the humans who use them. Programmers aren’t to blame, as our programming languages, libraries, and databases provide little or no support for understanding user-perceived characters. Many systems disagree on the basic units of characters, some use code points, others use code units, and others still operate on individual bytes by default. This frequently leads to products with a poor experience in some users’ languages, especially written languages that use grapheme clusters, sequences of code points that compose a single user-perceived character. With the rise in global emoji usage and the rapid evolution of standard emoji sequences, this problem is increasingly experienced by users worldwide, regardless of their language.

This session will cover:
• Extended grapheme clusters and emoji sequences
• Programming with these user-perceived characters
• Data input, parsing, analysis, formatting, and output
• Setting product requirements for character support
• Examples from Shutterstock’s platforms for content editing and collaboration"
Julka Grodel,,jgrodel,https://www.addthis.com,https://pbs.twimg.com/profile_images/798336448235732992/jPHjJwC5_400x400.jpg,"Julka Grodel is a Senior Software Engineer at AddThis and has worked professionally in web development for over 10 years. She is passionate about writing easily maintainable and extendable code and is on a mission to make it simple to use AddThis' social tools on single page apps and within a dynamic DOM. Julka spends most of her time on open source projects integrating AddThis tools for various JavaScript frameworks & content management systems. When not working, she spends her time volunteering with the Junior League, in a pilates studio, or doting over her blind cat Batman and his BFF Robin.",Standard Talk - 50 minutes,2,2017-06-21,14:30,Madison B,Polyglot,Any,The Variable Crimes We Commit Against JavaScript,"Have you ever put a value into a JavaScript variable, and then been unable to use it where you needed it? Or created it and unintentionally overridden something you thought wouldn't be affected? JavaScript has an unusual way of handling where variables are available, we call this ""where"" a scope. In this talk, we'll go over how JavaScript variables 'bubble' up into higher scopes, how to restrict them to just where you want them, and how this affects variables in your functions. "
Joshua Turcotte (& Michelle Koeth),jeturcotte,je_turcotte,,,"A panel of four local Civic Hackers, some with perl experience, possibly with one guest.",Standard Talk - 50 minutes,2,2017-06-21,14:30,Knox,Less Code,Any,A Panel on a symbiosis between Civic Hacking and Perl Evangelism,"This fairly meta talk discusses a bubbling practice of civic engagement, or 'civic hacking' to solve local problems that local government or local business neglect.  It may also help solve a problem Perl has been facing, as a community, and that's in encouraging new blood to join our ranks... to ensure there's demand for perl developers in our ecosystem.  A small panel, well-represented by community members and USPTO staff, all participants in the local 'CodeForAmerica' chapter 'CodeForNoVA', will discuss the issue and invite conversation from the room."
bulk88,bulkdd,,,,"Bulk88 has been working with Perl for 14 years.  He is a frequent contributor to Perl 5 Porters, with a particular interest in optimization and Win32 support.  While he loves Perl, he's also happy being close to bare metal, including both ARM and x86 assembly programming. ",Standard Talk - 50 minutes,2,2017-06-21,14:30,Jefferson,Perl Languages & Impl,Advanced,Writing XS in Plain C,"Even if you learned C in a classroom at some point, Perl's ""XS"" API for writing perl subs in something purported to be C but is really a cat on a tablet with caps lock on. In this talk I will show how difficult it is to write subs in plain C. This talk will make XS seem like a cakewalk.  "
Dave Rolsky,DROLSKY,,http://blog.urth.org/,https://secure.gravatar.com/avatar/ac0051ccbf2115f581f5da62fb56c219?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2F1401e7f176d9e13ad2a9380ecd1f18f6%3Fs%3D130%26d%3Didenticon,"Dave Rolsky has been a Perl developer since 1999, and has created or contributed to dozens of CPAN modules, including DateTime, Log::Dispatch, Params::Validate, and more. He is also a member of the Moose core development team, and in early 2009 completed a TPF grant to substantially rewrite and expand the Moose documentation. Way back when, he co-wrote Embedding Perl in HTML with Mason and RT Essentials, both published by O'Reilly.

He spends a lot of his free time on animal advocacy, and otherwise vegetates with video games, books, and TV shows, like any proper nerd.
",Standard Talk - 50 minutes,2,2017-06-21,09:30,Madison A,Whatever,Any,A Date with Perl,"Dates and times are confusing and crazy. What nut invented Daylight Saving Time? Someone who'd never imagined a computer, that's who!

Dealing with dates and times might seem simple at first, but there's a lot of gotchas.

This talk will start by covering some concepts worth knowing about (What is an Olson timezone? What's the Gregorian Calendar?).

After that we'll talk about how the DateTime suite of modules can make your life a little easier. I'll show you some best practices for working with dates and times, and highlight some gotchas in DateTime's API, and with datetimes in general.
"
Curt Tilmes,ctilmes@cpan.org,ctilmes,https://curt.tilmes.org,https://pbs.twimg.com/profile_images/2170274190/curtebiquity_400x400.png,NASA Computer Scientist building satellite data processing systems with Perl.,Standard Talk - 50 minutes,2,2017-06-21,09:30,Madison B,Science & Data,Intermediate,GraphQL and Perl 6,"Introducing a new GraphQL implementation for Perl 6.  GraphQL (graphql.org) was recently released by Facebook with an open source reference implementation in Javascript and a public specification, and has been widely ported since then.  This Perl 6 implementation capitalizes on some features of Perl 6, including grammars, introspection, concurrency, traits, etc. that make Perl 6 ideal for GraphQL, and make Perl 6 GraphQL great for implementing a web API for your data, regardless of your existing database technology.  This talk will introduce GraphQL briefly, and describe how to build a GraphQL schema and server in Perl 6."
Leon Fayer,,papa_fire,,,"Leon's two decades of expertise were concentrated on architecting and operating complex, web-based systems to withstand crushing traffic (often unexpectedly). Over the years, he's had a somewhat unique opportunity to design and build systems that run some of the most visited websites in the world. While his core expertise is in Perl and application development in general, he works his way around the whole technology stack from system architecture to databases design and code optimization. He's considered a professional naysayer by peers and has the opinion that nothing really works until it works for at least a million people.",Standard Talk - 50 minutes,2,2017-06-21,09:30,Knox,"Test, Debug, Optimize",Any,Lost art of troubleshooting,"There are a lot of great things about the cloud, but the ""destroy and rebuild"" philosophy which is really good for building a continuous delivery pipeline, really sucks when applied to troubleshooting production problems. When your application goes haywire, the most valuable engineering skill is not the the ability to bring up a copy of your system or even the knowledge of a your technology stack (although it doesn't hurt).  It is the skill of understanding and solving problems.

Finding the root cause of the issue and mitigating it with minimal disruption in production is a must-have skill for engineers responsible for managing and maintaining production systems. In this talk I will discuss the skills required to troubleshoot complex systems, traits that prevent engineers from being successful at troubleshooting and discuss some techniques and tips and trick for troubleshooting complex systems in production."
Lloyd Fournier,,LLFourn,,,"Australian Perl hacker. Creator of the Spook in the Shell compiler, written in Perl 6.",Standard Talk - 50 minutes,2,2017-06-21,09:30,Jefferson,Infrastructure & Ecosystem,Any,Spitting out shell with Perl 6,"👻Spook in the Shell👻 (spit-sh or just spit) is a Perl-6-like language written in Perl 6 that compiles into shell (/bin/sh). Its purpose is to produce modular, testable and easily deployable configurations. It's meant to be accessible and more focused on personal projects than enterprise.

Other than showing the basics of the language, I'll be showing you how to use spit to:

* Deploy a configuration to DigitalOcean via DigitalOcean's HTTP API
* Build and specify a Docker image using spit code instead of a Dockerfile

https://github.com/spitsh/spitsh"
Dave Rolsky,DROLSKY,,http://blog.urth.org/,https://secure.gravatar.com/avatar/ac0051ccbf2115f581f5da62fb56c219?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2F1401e7f176d9e13ad2a9380ecd1f18f6%3Fs%3D130%26d%3Didenticon,"Dave Rolsky has been a Perl developer since 1999, and has created or contributed to dozens of CPAN modules, including DateTime, Log::Dispatch, Params::Validate, and more. He is also a member of the Moose core development team, and in early 2009 completed a TPF grant to substantially rewrite and expand the Moose documentation. Way back when, he co-wrote Embedding Perl in HTML with Mason and RT Essentials, both published by O'Reilly",Full Day Tutorial,12,2017-06-18,09:00,Knox,Tutorial,Intermediate,Introduction to Moose,"This is an interactive hands-on course all about Moose, an OO system for Perl 5 that provides a simple declarative layer of “sugar” on top of a powerful, extensible meta-model.

With Moose, simple classes can be created without writing any subroutines, and complex classes can be simplified. Moose’s features include a powerful attribute declaration system, type constraints and coercions, method modifiers (“before”, “after”, and “around”), a role system (like mixins on steroids), and more. Moose also has a vibrant ecosystem of extensions as seen in the variety of MooseX:: modules on CPAN.

This course covers Moose’s core features, goes in depth on many of them, and explores some of the more powerful MooseX:: modules available on CPAN.

This is a hands-on course. Each lecture section is followed by a hands-on exercise section where you put what you’ve just learned into practice. The instructor will work with each student individually as needed to help you get the most from these exercises.

This class is aimed at Perl programmers who understand object-oriented programming and want to learn how to do it with Moose. It is not suitable for Perl beginners or for people without any OO experience. OO experience in other languages besides Perl is sufficient, as long as you also have a good grasp of Perl syntax, particularly method call syntax.

Students are expected to bring a laptop with a recent version of Perl and the editor of their choice. You will also be expected to clone the class’s git repository in order to obtain a copy of the class slides and exercises.

More information about the course is available here: http://www.houseabsolute.com/classes/

This tutorial requires a separate $150 ticket."
Damian Conway,DCONWAY,,http://damian.conway.org,,"Damian Conway is a 52-year-old Australian male, wanted in connection with various outrages and atrocities committed on CPAN over the past two decades, as well as numerous assaults on the sanity of Perl audiences across four continents.",Full Day Tutorial,12,2017-06-22,09:00,Madison A,Tutorial,ALL,New Perl,"Perl 5.10 added more useful features to the language than any other release since Perl 5.0.0. Perls 5.12 through 5.24 are more recent annual releases that provide important refinements and further enhancements. Perl 5.26 is the next scheduled release, due in mid-2017. Most people are now using Perl 5.10 or later, but often without taking advantage of those new features.

This one-day tutorial provides a detailed introduction to the new and improved features of these modern versions of Perl 5, along with practical examples of how they can improve the performance, robustness, and maintainability of your code.

Topics covered include:

Backward and forward compatibility using the feature pragma
Smartmatching comparisons
Perl's new switch statement
Many new features and performance improvements for regular expression
State variables
Lexical subroutines
Handling defaults with the defined-or operator
New and improved file and filetest operations
Recursive sorting and pattern matching
The new UNITCHECK execution phase
The extended package definition syntax
Implicit strictures
Using each on arrays
Using array or hash references in place of arrays or hashes
Much more reliable exception handling
New and improved core modules and pragmas
New documentation
Deprecations and feature removals
Where to expect better (or worse!) performance

This tutorial requires a separate $150 ticket."
Damian Conway,DCONWAY,,http://damian.conway.org,,"Damian Conway is a 52-year-old Australian male, wanted in connection with various outrages and atrocities committed on CPAN over the past two decades, as well as numerous assaults on the sanity of Perl audiences across four continents.",Full Day Tutorial,12,2017-06-23,09:00,Madison A,Tutorial,Intermediate,Parsing with Perl 6 Regexes and Grammars,"Parsing is the process of detecting and verifying the structure of incoming data and then processing that data so as to make it available to a program in convenient ways.

This full-day tutorial will introduce beginner and intermediate
programmers to the powerful and efficient parsing mechanisms built
into Perl 6, and will explore specific techniques for parsing data
in a variety of commonly used real-world formats.

Topics covered include:

* simple parsing with Perl 6 regexes

* structured parsing with Perl 6 grammars

* dealing with XML and other tagged formats

* decoding heterogeneous structured formats

* extracting data structures from structured data

* coping with incomplete, malformed, and ambiguous data

* integrating parsing and object oriented programming


Course format

    1-day seminar

Who should attend

Programmers who are familiar with simple regular expressions (either from their editor or from a programming language). The techniques presented are not restricted to the particular applications mentioned, and will be useful to anyone who needs to process or transform structured text-based data of any kind.

This tutorial requires a separate $150 ticket."
John S Jacobs Anderson,genehack,genehack,genehack.org,https://secure.gravatar.com/avatar/025d30f04795e1efc142701e4ac89bfd?s=130&d=identicon,"John is the VP of Technology for Infinity Interactive, a virtual IT consultancy. When he's not maintaining Perl modules or tweaking his Emacs config, he likes to play around with new languages like Swift and write about himself in the third person.",Full Day Tutorial,12,2017-06-18,09:00,Madison B,Tutorial,Beginner,Perl in a Day,"When learning a new language, some folks prefer to read the language documentation, or work through simple exercises like you might find on http://exercism.io -- but I prefer to have something more like an actual project. I find that holds my focus a little better, and that I do a better job of absorbing the new language syntax and features if I'm using them for something *real*.

This 1 day tutorial will introduce you to the features of the Perl language while walking you through writing a static site generator. We'll start simply by opening, reading, and writing files, but over the course of the day we'll cover processing directories full of files, selecting and using a templating system, supporting Markdown, implementing a simple weblog, and much more.

This tutorial is aimed at people who have some programming experience in another language. No Perl experience will be required or assumed.

This tutorial requires a separate $50 ticket."
